Time,Output,Consumption,Investment,Wage,Labor,Inflation,Investment_deflator,Nominal_rate,Output_Gap,Real_borrowing
1.000000,-4.412269,0.423724,-9.770696,-0.786181,-0.792326,0.783380,2.055395,1.219848,-1.107586,-0.149081
2.000000,0.399942,3.226996,-3.536905,0.717720,-4.074327,0.229465,-2.343540,1.206115,-3.979705,1.746667
3.000000,-0.182908,-0.079713,-0.125053,-0.395940,-3.820045,0.345647,-1.478734,1.112552,-5.858999,0.425095
4.000000,0.657324,1.443833,1.822994,0.273933,-4.291638,0.563922,-5.058482,1.108333,-4.510722,-0.528538
5.000000,-0.279025,2.207379,-0.250133,-1.136638,-4.147579,0.195222,1.129065,0.961358,-6.970167,-1.680618
6.000000,2.160050,-0.179433,10.107151,0.220452,-1.382286,0.773484,-4.945170,0.663681,-4.632296,-1.860243
7.000000,3.243841,2.490632,5.392407,1.030662,0.365837,0.793948,-3.181491,0.599082,-3.838469,-2.296362
8.000000,2.561787,1.628034,1.980868,2.474451,1.286463,0.725230,-1.975376,0.704149,-3.665291,-0.556877
9.000000,-1.473603,-0.331161,-5.738944,-0.180025,1.107807,1.185615,2.091681,1.075899,-4.403685,0.928915
10.000000,-1.601332,-1.002663,-2.614632,-0.824870,-0.886609,1.167819,0.919707,1.367079,-5.010133,0.619828
11.000000,0.949296,-1.059379,0.750279,0.384416,-1.681249,0.474538,1.290003,1.685761,-5.771324,0.451746
12.000000,0.893105,0.732319,0.561624,1.487185,-1.116737,0.602815,0.301858,1.967796,-5.386772,1.210685
13.000000,2.767932,1.628428,4.178724,0.734391,0.647182,0.681508,-1.219472,1.578602,-3.499280,3.732210
14.000000,0.060462,0.236132,-2.105144,0.968145,0.548544,0.539353,3.159042,1.216742,-5.321828,2.332122
15.000000,-1.853011,-0.643196,0.717857,0.413099,-1.560544,0.517931,0.783165,0.982345,-6.521637,1.479808
16.000000,0.932867,-0.004205,3.519016,-0.420310,-0.826655,0.830546,-2.210078,0.994526,-5.611755,1.048193
17.000000,-0.659862,-0.399336,-2.612909,-0.522040,-0.496407,0.671957,-0.899358,1.164854,-4.423119,-0.279092
18.000000,-1.778011,-0.940935,-0.953687,-0.784460,-1.216623,0.701180,-1.196964,1.229392,-4.619178,-1.020938
19.000000,-0.416288,0.815529,0.788472,0.739650,-2.105721,0.808565,-2.443867,1.181891,-5.644045,-0.403477
20.000000,1.404634,-0.535179,2.787354,-0.129426,-0.102189,0.894840,2.977478,1.004615,-5.544967,-1.186725
21.000000,3.381687,0.730697,5.053287,0.181006,1.609115,0.955360,0.549033,1.047577,-4.220253,-0.892922
22.000000,0.620305,-0.564347,0.317120,0.481084,2.233168,1.147676,1.823439,1.210358,-4.272873,-1.046004
23.000000,2.967452,1.337947,4.372686,1.653657,4.107423,1.205314,0.114590,1.337411,-0.902086,-0.643719
24.000000,-2.082350,-1.177006,-3.299417,-0.302687,3.000885,1.346702,0.139000,1.636661,-1.465238,-0.953762
25.000000,-3.077051,-4.778696,-1.381743,-2.126406,2.412834,1.417211,1.258556,1.894524,-2.184415,-1.874119
26.000000,-2.947815,-2.004532,-2.688298,-0.622350,-1.363185,0.957346,-1.769129,2.190579,-3.550698,-0.325354
27.000000,-0.648612,-1.285928,2.555560,-1.085486,-2.141840,0.721393,-1.464483,2.279001,-4.800813,0.475648
28.000000,1.562553,0.755977,3.644808,0.291237,0.817540,0.996640,-0.432569,2.056486,-3.536302,2.650863
29.000000,3.872934,4.301018,5.239446,1.149718,0.456820,0.439683,-1.785364,1.950000,-2.580895,2.446049
30.000000,3.371628,5.276615,4.359017,2.213186,1.452087,0.555239,-3.191823,1.746696,-3.500961,2.831068
31.000000,1.555661,5.727630,-2.221770,1.404435,0.493615,0.511600,-0.165838,1.458013,-6.231542,3.083045
32.000000,-0.104475,2.270958,1.079812,0.425557,0.566039,1.132231,-2.879947,1.377550,-7.632623,-0.101503
33.000000,1.602100,3.193281,2.383713,1.238314,-0.456053,1.005137,0.787935,1.242319,-9.843237,0.394350
34.000000,-0.027326,2.080687,3.350624,1.357146,-1.298812,1.462365,-4.579560,1.523194,-11.244722,-1.277676
35.000000,0.449838,0.311123,1.733795,0.481828,-1.882437,1.565456,-0.971078,1.969880,-14.132842,-1.698155
36.000000,0.744176,-0.115414,3.956533,0.547671,-1.914719,1.826981,-1.134457,2.187381,-14.145987,-1.078461
37.000000,0.278236,-1.476246,3.172988,-0.314095,0.612738,1.924298,0.036475,2.389323,-14.091941,-0.498362
38.000000,0.050209,0.874869,-0.931425,0.199492,0.423683,1.819754,2.369440,2.638036,-11.703009,2.172151
39.000000,0.899061,-2.220715,2.943245,0.869042,0.011613,1.405665,0.570162,2.713230,-12.218166,1.503050
40.000000,-1.808592,0.318600,-2.798542,0.777602,-2.272982,1.181705,3.714599,2.523774,-14.040836,1.888796
41.000000,1.145797,0.506586,-0.975930,0.843298,-0.192339,1.596174,2.063988,2.344464,-12.158549,1.842257
42.000000,-2.714028,-0.994243,-1.457809,0.122867,-3.224270,1.885381,-3.806783,2.414896,-11.710096,-0.470767
43.000000,-1.646801,-1.326945,-0.857307,-0.676514,-4.043061,2.136647,-1.845376,2.531896,-13.036577,0.362664
44.000000,-0.286879,-0.630917,0.919321,-0.631025,-4.249452,1.808060,-2.895557,2.566269,-11.915072,0.674221
45.000000,2.873209,0.524482,8.192369,0.426478,-3.020789,1.391241,-1.303915,2.611722,-11.811536,0.865164
46.000000,3.479179,1.651822,5.256017,1.474719,-0.013047,1.170036,0.873068,2.548606,-10.017429,1.483817
47.000000,0.690224,0.080243,4.267153,-0.053932,1.026512,1.701228,2.110367,2.342445,-9.358243,0.460065
48.000000,1.797698,2.502067,1.879806,0.435999,1.356081,1.545395,-0.877482,2.093812,-8.516466,0.070335
49.000000,2.576581,4.491367,0.441384,1.776856,0.474397,1.333641,1.118417,2.033819,-9.465958,0.373883
50.000000,1.772386,1.522048,-0.508876,1.801834,1.067357,1.269643,-1.276626,2.107930,-9.934456,1.331711
51.000000,-2.392711,-0.342806,-4.768539,0.352620,-0.954420,1.243394,1.164007,2.137296,-11.729398,-1.699278
